Product_name,Price,Rating
Apple iPhone 6s (Space Grey| 32 GB),Rs.25999,4.5
Apple iPhone SE (Rose Gold| 32 GB),Rs.16999,4.5
Apple iPhone SE (Gold| 32 GB),Rs.16999,4.5
Apple iPhone SE (Space Grey| 32 GB),Rs.17999,4.5
Apple iPhone 6s (Gold| 32 GB),Rs.25999,4.4
Apple iPhone 6s (Silver| 32 GB),Rs.25999,4.4
Apple iPhone 7 (Rose Gold| 32 GB),Rs.33999,4.5
Apple iPhone 6 (Gold| 32 GB),Rs.21999,4.4
Apple iPhone 6 (Space Grey| 32 GB),Rs.21999,4.4
Apple iPhone 6s (Rose Gold| 32 GB),Rs.25999,4.5
Apple iPhone SE (Silver| 32 GB),Rs.17999,4.5
Apple iPhone 6s Plus (Gold| 32 GB),Rs.30999,4.4
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs.30999,4.4
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.30999,4.5
Apple iPhone 7 (Gold| 32 GB),Rs.33999,4.5
Apple iPhone 7 (Black| 32 GB),Rs.33999,4.5
Apple iPhone 7 (Silver| 32 GB),Rs.33999,4.5
Apple iPhone 7 Plus (Black| 32 GB),Rs.49899,4.6
Apple iPhone 6s Plus (Silver| 32 GB),Rs.30999,4.4
Apple iPhone XS (Silver| 64 GB),Rs.94900,4.6
Apple iPhone XR (Black| 64 GB),Rs.74900,4.6
Apple iPhone X (Space Gray| 64 GB),Rs.81980,4.6
Apple iPhone XS (Gold| 64 GB),Rs.99900,4.6
Apple iPhone 7 Plus (Rose Gold| 32 GB),Rs.49899,4.6
